tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2013-07-01,63,30,31,71,20,71,O3,SEDANG,DKI4
2013-07-02,82,28,43,79,21,82,PM10,SEDANG,DKI4
2013-07-03,57,16,43,134,23,134,O3,TIDAK SEHAT,DKI3
2013-07-04,58,29,51,43,23,58,PM10,SEDANG,DKI2
2013-07-05,60,40,49,64,22,64,O3,SEDANG,DKI4
2013-07-06,58,22,46,56,15,58,PM10,SEDANG,DKI1
2013-07-07,83,19,58,65,16,83,PM10,SEDANG,DKI4
2013-07-08,104,36,98,109,17,109,O3,TIDAK SEHAT,DKI4
2013-07-09,72,20,36,121,18,121,O3,TIDAK SEHAT,DKI2
2013-07-10,57,14,37,104,20,104,O3,TIDAK SEHAT,DKI4
2013-07-11,80,19,45,118,26,118,O3,TIDAK SEHAT,DKI3
2013-07-12,60,28,45,88,21,88,O3,SEDANG,DKI4
2013-07-13,60,27,39,83,19,83,O3,SEDANG,DKI4
2013-07-14,35,13,32,74,20,74,O3,SEDANG,DKI2
2013-07-15,65,27,48,76,19,76,O3,SEDANG,DKI4
2013-07-16,77,31,43,66,23,77,PM10,SEDANG,DKI2
2013-07-17,74,20,50,117,25,117,O3,TIDAK SEHAT,DKI4
2013-07-18,75,19,45,84,20,84,O3,SEDANG,DKI4
2013-07-19,64,23,41,99,21,99,O3,SEDANG,DKI5
2013-07-20,76,19,39,129,17,129,O3,TIDAK SEHAT,DKI5
2013-07-21,77,25,56,105,22,105,O3,TIDAK SEHAT,DKI2
2013-07-22,62,21,40,112,19,112,O3,TIDAK SEHAT,DKI5
2013-07-23,81,23,81,93,23,93,O3,SEDANG,DKI5
2013-07-24,64,30,46,64,17,64,PM10,SEDANG,DKI2
2013-07-25,65,24,44,56,13,65,PM10,SEDANG,DKI4
2013-07-26,57,19,25,51,9,57,PM10,SEDANG,DKI4
2013-07-27,72,27,30,91,15,91,O3,SEDANG,DKI4
2013-07-28,78,23,58,78,24,78,PM10,SEDANG,DKI4
2013-07-29,80,23,35,115,19,115,O3,TIDAK SEHAT,DKI4
2013-07-30,68,37,35,85,20,85,O3,SEDANG,DKI3
2013-07-31,75,18,32,88,21,88,O3,SEDANG,DKI4
