tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2013-04-01,56.0,14.0,40.0,268.0,22.0,268.0,O3,SANGAT TIDAK SEHAT,DKI2
2013-04-02,67.0,17.0,40.0,92.0,23.0,92.0,O3,SEDANG,DKI3
2013-04-03,71.0,17.0,43.0,151.0,27.0,151.0,O3,TIDAK SEHAT,DKI4
2013-04-04,65.0,13.0,35.0,144.0,17.0,144.0,O3,TIDAK SEHAT,DKI4
2013-04-05,56.0,15.0,38.0,66.0,16.0,66.0,O3,SEDANG,DKI4
2013-04-06,51.0,20.0,23.0,132.0,16.0,132.0,O3,TIDAK SEHAT,DKI4
2013-04-07,70.0,9.0,23.0,63.0,15.0,70.0,PM10,SEDANG,DKI2
2013-04-08,56.0,25.0,42.0,167.0,25.0,167.0,O3,TIDAK SEHAT,DKI5
2013-04-09,56.0,10.0,37.0,167.0,23.0,167.0,O3,TIDAK SEHAT,DKI5
2013-04-10,63.0,14.0,28.0,99.0,19.0,99.0,O3,SEDANG,DKI3
2013-04-11,78.0,14.0,33.0,93.0,20.0,93.0,O3,SEDANG,DKI4
2013-04-12,63.0,14.0,33.0,54.0,21.0,63.0,PM10,SEDANG,DKI4
2013-04-13,58.0,8.0,22.0,38.0,16.0,58.0,PM10,SEDANG,DKI2
2013-04-14,114.0,6.0,15.0,60.0,15.0,114.0,PM10,TIDAK SEHAT,DKI2
2013-04-15,107.0,6.0,22.0,93.0,10.0,107.0,PM10,TIDAK SEHAT,DKI2
2013-04-16,62.0,13.0,30.0,90.0,22.0,90.0,O3,SEDANG,DKI4
2013-04-17,69.0,15.0,37.0,125.0,32.0,125.0,O3,TIDAK SEHAT,DKI3
2013-04-18,49.0,8.0,31.0,121.0,22.0,121.0,O3,TIDAK SEHAT,DKI1
2013-04-19,60.0,16.0,46.0,133.0,22.0,133.0,O3,TIDAK SEHAT,DKI5
2013-04-20,67.0,22.0,34.0,128.0,20.0,128.0,O3,TIDAK SEHAT,DKI5
2013-04-21,75.0,10.0,37.0,120.0,19.0,120.0,O3,TIDAK SEHAT,DKI4
2013-04-22,56.0,16.0,32.0,71.0,12.0,71.0,O3,SEDANG,DKI4
2013-04-23,73.0,18.0,54.0,77.0,20.0,77.0,O3,SEDANG,DKI1
2013-04-24,71.0,20.0,33.0,66.0,16.0,71.0,PM10,SEDANG,DKI5
2013-04-25,82.0,14.0,43.0,140.0,14.0,140.0,O3,TIDAK SEHAT,DKI5
2013-04-26,77.0,20.0,58.0,99.0,24.0,99.0,O3,SEDANG,DKI4
2013-04-27,68.0,16.0,26.0,75.0,11.0,75.0,O3,SEDANG,DKI4
2013-04-28,72.0,15.0,26.0,60.0,13.0,72.0,PM10,SEDANG,DKI4
2013-04-29,67.0,23.0,18.0,60.0,14.0,67.0,PM10,SEDANG,DKI4
2013-04-30,71.0,19.0,15.0,68.0,13.0,71.0,PM10,SEDANG,DKI4
,,,,,,,,,
