tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2013-10-01,101,40,39,85,25,101,PM10,TIDAK SEHAT,DKI4
2013-10-02,82,31,45,110,21,110,O3,TIDAK SEHAT,DKI5
2013-10-03,75,27,33,110,24,110,O3,TIDAK SEHAT,DKI3
2013-10-04,85,22,31,134,23,134,O3,TIDAK SEHAT,DKI4
2013-10-05,78,28,35,107,18,107,O3,TIDAK SEHAT,DKI2
2013-10-06,75,26,30,134,21,134,O3,TIDAK SEHAT,DKI5
2013-10-07,67,37,31,101,17,101,O3,TIDAK SEHAT,DKI3
2013-10-08,90,26,32,88,22,90,PM10,SEDANG,DKI5
2013-10-09,70,34,29,117,19,117,O3,TIDAK SEHAT,DKI5
2013-10-10,66,22,31,93,21,93,O3,SEDANG,DKI3
2013-10-11,71,21,38,107,21,107,O3,TIDAK SEHAT,DKI3
2013-10-12,62,31,29,121,20,121,O3,TIDAK SEHAT,DKI3
2013-10-13,67,25,22,119,14,119,O3,TIDAK SEHAT,DKI4
2013-10-14,66,32,36,120,18,120,O3,TIDAK SEHAT,DKI4
2013-10-15,56,23,24,80,15,80,O3,SEDANG,DKI3
2013-10-16,76,34,25,80,14,80,O3,SEDANG,DKI3
2013-10-17,72,25,24,55,14,72,PM10,SEDANG,DKI4
2013-10-18,73,27,23,83,13,83,O3,SEDANG,DKI4
2013-10-19,76,30,47,139,18,139,O3,TIDAK SEHAT,DKI3
2013-10-20,56,30,19,91,14,91,O3,SEDANG,DKI5
2013-10-21,63,34,33,105,19,105,O3,TIDAK SEHAT,DKI2
2013-10-22,80,40,30,89,20,89,O3,SEDANG,DKI3
2013-10-23,69,37,34,91,25,91,O3,SEDANG,DKI5
2013-10-24,67,40,38,103,22,103,O3,TIDAK SEHAT,DKI3
2013-10-25,82,29,38,159,30,159,O3,TIDAK SEHAT,DKI4
2013-10-26,105,37,50,110,21,110,O3,TIDAK SEHAT,DKI5
2013-10-27,75,45,41,85,18,85,O3,SEDANG,DKI2
2013-10-28,65,33,30,124,20,124,O3,TIDAK SEHAT,DKI4
2013-10-29,65,38,42,125,25,125,O3,TIDAK SEHAT,DKI4
2013-10-30,69,30,59,95,25,95,O3,SEDANG,DKI4
2013-10-31,77,28,45,120,20,120,O3,TIDAK SEHAT,DKI4
