Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-10-2013,29.4,71.0,0.0,1.0,E ,101,40,39,85,25
02-10-2013,29.8,72.0,0.0,0.0,NE,82,31,45,110,21
03-10-2013,29.9,69.0,0.0,1.0,N ,75,27,33,110,24
04-10-2013,29.6,65.0,0.0,2.0,N ,85,22,31,134,23
05-10-2013,29.8,71.0,27.5,2.0,N ,78,28,35,107,18
06-10-2013,28.8,74.0,0.0,1.0,N ,75,26,30,134,21
07-10-2013,28.8,70.0,0.4,1.0,N ,67,37,31,101,17
08-10-2013,29.2,73.0,0.0,2.0,N ,90,26,32,88,22
09-10-2013,29.4,68.0,0.0,1.0,N ,70,34,29,117,19
10-10-2013,29.7,66.0,0.0,2.0,N ,66,22,31,93,21
11-10-2013,29.6,69.0,0.0,2.0,W ,71,21,38,107,21
12-10-2013,29.7,69.0,0.5,2.0,N ,62,31,29,121,20
13-10-2013,29.2,70.0,0.0,1.0,W ,67,25,22,119,14
14-10-2013,29.9,67.0,0.0,1.0,N ,66,32,36,120,18
15-10-2013,30.0,67.0,0.0,2.0,N ,56,23,24,80,15
16-10-2013,30.5,67.0,0.0,2.0,E ,76,34,25,80,14
17-10-2013,31.3,68.0,0.0,2.0,E ,72,25,24,55,14
18-10-2013,29.5,76.0,0.6,2.0,E ,73,27,23,83,13
19-10-2013,29.1,75.0,6.7,2.0,N ,76,30,47,139,18
20-10-2013,29.0,74.0,0.0,2.0,N ,56,30,19,91,14
21-10-2013,29.8,67.0,0.0,2.0,N ,63,34,33,105,19
22-10-2013,29.1,72.0,0.0,2.0,N ,80,40,30,89,20
23-10-2013,31.6,72.0,4.5,2.0,N ,69,37,34,91,25
24-10-2013,29.5,72.0,0.0,2.0,N ,67,40,38,103,22
25-10-2013,29.3,74.0,0.0,2.0,N ,82,29,38,159,30
26-10-2013,29.5,74.0,0.0,2.0,N ,105,37,50,110,21
27-10-2013,29.8,74.0,0.0,1.0,NE,75,45,41,85,18
28-10-2013,28.6,75.0,4.8,2.0,N ,65,33,30,124,20
29-10-2013,26.6,87.0,65.1,2.0,N ,65,38,42,125,25
30-10-2013,27.5,80.0,0.0,2.0,N ,69,30,59,95,25
31-10-2013,28.5,78.0,0.0,2.0,N ,77,28,45,120,20
