Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-04-2013,29.6,76.0,0.0,3.0,W ,56.0,14.0,40.0,268.0,22.0
02-04-2013,29.6,85.0,0.5,2.0,SW,67.0,17.0,40.0,92.0,23.0
03-04-2013,29.3,77.0,0.0,3.0,NE,71.0,17.0,43.0,151.0,27.0
04-04-2013,28.4,85.0,11.5,2.0,W ,65.0,13.0,35.0,144.0,17.0
05-04-2013,29.3,75.0,0.0,3.0,W ,56.0,15.0,38.0,66.0,16.0
06-04-2013,27.9,82.0,34.2,3.0,SW,51.0,20.0,23.0,132.0,16.0
07-04-2013,27.7,82.0,2.2,2.0,N ,70.0,9.0,23.0,63.0,15.0
08-04-2013,28.4,80.0,0.0,2.0,W ,56.0,25.0,42.0,167.0,25.0
09-04-2013,29.3,75.0,0.0,2.0,N ,56.0,10.0,37.0,167.0,23.0
10-04-2013,29.3,74.0,0.2,3.0,W ,63.0,14.0,28.0,99.0,19.0
11-04-2013,28.3,83.0,2.6,3.0,N ,78.0,14.0,33.0,93.0,20.0
12-04-2013,29.4,71.0,0.0,3.0,W ,63.0,14.0,33.0,54.0,21.0
13-04-2013,28.9,72.0,0.0,4.0,W ,58.0,8.0,22.0,38.0,16.0
14-04-2013,29.4,76.0,48.2,3.0,N ,114.0,6.0,15.0,60.0,15.0
15-04-2013,30.1,71.0,13.8,3.0,W ,107.0,6.0,22.0,93.0,10.0
16-04-2013,29.0,79.0,2.0,3.0,W ,62.0,13.0,30.0,90.0,22.0
17-04-2013,29.4,78.0,4.0,3.0,E ,69.0,15.0,37.0,125.0,32.0
18-04-2013,25.6,92.0,39.0,3.0,W ,49.0,8.0,31.0,121.0,22.0
19-04-2013,27.4,82.0,0.0,3.0,N ,60.0,16.0,46.0,133.0,22.0
20-04-2013,28.3,78.0,0.0,3.0,E ,67.0,22.0,34.0,128.0,20.0
21-04-2013,29.8,80.0,0.0,3.0,E ,75.0,10.0,37.0,120.0,19.0
22-04-2013,26.8,87.0,13.0,2.0,E ,56.0,16.0,32.0,71.0,12.0
23-04-2013,28.2,83.0,0.0,2.0,N ,73.0,18.0,54.0,77.0,20.0
24-04-2013,27.6,86.0,6.7,2.0,N ,71.0,20.0,33.0,66.0,16.0
25-04-2013,28.6,80.0,16.9,3.0,SW,82.0,14.0,43.0,140.0,14.0
26-04-2013,28.4,82.0,0.0,3.0,E ,77.0,20.0,58.0,99.0,24.0
27-04-2013,28.4,82.0,2.0,2.0,E ,68.0,16.0,26.0,75.0,11.0
28-04-2013,28.6,79.0,0.0,3.0,E ,72.0,15.0,26.0,60.0,13.0
29-04-2013,29.7,70.0,0.0,3.0,E ,67.0,23.0,18.0,60.0,14.0
30-04-2013,30.0,67.0,7.5,3.0,E ,71.0,19.0,15.0,68.0,13.0
,,,,,,,,,,
