Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-07-2015,28.3,71.0,0.0,1.0,N 
02-07-2015,27.9,67.0,0.0,1.0,N 
03-07-2015,28.0,64.0,0.0,1.0,N 
04-07-2015,27.8,64.0,0.0,1.0,N 
05-07-2015,27.6,69.0,0.0,1.0,N 
06-07-2015,28.5,65.0,0.0,1.0,N 
07-07-2015,28.2,68.0,0.0,1.0,N 
08-07-2015,28.2,71.0,0.0,1.0,N 
09-07-2015,27.9,68.0,8888.0,2.0,N 
10-07-2015,28.5,67.0,0.0,1.0,N 
11-07-2015,28.7,70.0,0.0,1.0,N 
12-07-2015,28.4,74.0,0.0,2.0,E 
13-07-2015,28.8,71.0,0.0,2.0,E 
14-07-2015,29.2,69.0,0.0,2.0,E 
15-07-2015,28.9,69.0,0.0,2.0,E 
16-07-2015,29.0,72.0,0.0,2.0,SE
17-07-2015,28.9,71.0,0.0,2.0,N 
18-07-2015,28.6,71.0,0.0,2.0,E 
19-07-2015,28.6,70.0,0.0,2.0,N 
20-07-2015,28.3,74.0,0.0,1.0,N 
21-07-2015,28.6,74.0,0.0,2.0,N 
22-07-2015,28.9,73.0,0.0,2.0,N 
23-07-2015,29.1,73.0,0.0,2.0,N 
24-07-2015,28.6,75.0,0.0,1.0,N 
25-07-2015,28.7,74.0,0.0,1.0,N 
26-07-2015,28.6,75.0,0.0,1.0,N 
27-07-2015,28.9,70.0,0.0,2.0,E 
28-07-2015,29.0,70.0,0.0,2.0,E 
29-07-2015,29.1,68.0,0.0,2.0,E 
30-07-2015,28.6,72.0,0.0,1.0,N 
31-07-2015,28.4,74.0,0.0,2.0,N 
