tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2011-03-01,40,14,26,42,8,42,O3,BAIK,DKI2
2011-03-02,40,15,21,34,8,40,PM10,BAIK,DKI4
2011-03-03,53,16,22,36,9,53,PM10,SEDANG,DKI4
2011-03-04,51,18,27,42,13,51,PM10,SEDANG,DKI4
2011-03-05,40,17,35,35,13,40,PM10,BAIK,DKI4
2011-03-06,51,14,24,31,10,51,PM10,SEDANG,DKI4
2011-03-07,54,14,17,30,11,54,PM10,SEDANG,DKI4
2011-03-08,43,14,20,33,9,43,PM10,BAIK,DKI4
2011-03-09,51,17,25,47,17,51,PM10,SEDANG,DKI4
2011-03-10,54,17,26,43,17,54,PM10,SEDANG,DKI4
2011-03-11,58,15,24,52,11,58,PM10,SEDANG,DKI4
2011-03-12,54,17,26,60,28,60,O3,SEDANG,DKI2
2011-03-13,67,17,25,47,15,67,PM10,SEDANG,DKI4
2011-03-14,68,15,47,31,17,68,PM10,SEDANG,DKI4
2011-03-15,71,16,25,72,17,72,O3,SEDANG,DKI2
2011-03-16,59,19,35,96,18,96,O3,SEDANG,DKI2
2011-03-17,67,19,54,111,21,111,O3,TIDAK SEHAT,DKI3
2011-03-18,87,22,33,79,20,87,PM10,SEDANG,DKI4
2011-03-19,78,17,29,76,23,78,PM10,SEDANG,DKI4
2011-03-20,61,15,32,83,23,83,O3,SEDANG,DKI3
2011-03-21,52,13,20,38,11,52,PM10,SEDANG,DKI4
2011-03-22,52,15,22,33,9,52,PM10,SEDANG,DKI4
2011-03-23,51,15,22,26,9,51,PM10,SEDANG,DKI4
2011-03-24,47,14,18,26,8,47,PM10,BAIK,DKI4
2011-03-25,47,14,22,35,14,47,PM10,BAIK,DKI4
2011-03-26,51,13,22,38,8,51,PM10,SEDANG,DKI4
2011-03-27,55,13,19,33,15,55,PM10,SEDANG,DKI4
2011-03-28,44,13,15,29,13,44,PM10,BAIK,DKI4
2011-03-29,45,13,16,25,8,45,PM10,BAIK,DKI4
2011-03-30,49,14,19,28,8,49,PM10,BAIK,DKI4
2011-03-31,42,14,21,24,7,42,PM10,BAIK,DKI4
