tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2011-12-01,76,18,26,107,16,107,O3,TIDAK SEHAT,DKI2
2011-12-02,54,19,25,131,15,131,O3,TIDAK SEHAT,DKI2
2011-12-03,44,17,29,105,13,105,O3,TIDAK SEHAT,DKI2
2011-12-04,93,23,47,91,16,93,PM10,SEDANG,DKI4
2011-12-05,59,18,20,81,15,81,O3,SEDANG,DKI2
2011-12-06,66,24,37,85,18,85,O3,SEDANG,DKI2
2011-12-07,158,34,58,143,23,158,PM10,TIDAK SEHAT,DKI4
2011-12-08,83,25,37,171,22,171,O3,TIDAK SEHAT,DKI3
2011-12-09,89,22,32,171,30,171,O3,TIDAK SEHAT,DKI3
2011-12-10,82,25,48,100,25,100,O3,SEDANG,DKI2
2011-12-11,53,14,37,151,15,151,O3,TIDAK SEHAT,DKI2
2011-12-12,54,21,26,171,13,171,O3,TIDAK SEHAT,DKI2
2011-12-13,71,24,42,82,19,82,O3,SEDANG,DKI3
2011-12-14,66,21,37,106,17,106,O3,TIDAK SEHAT,DKI2
2011-12-15,53,17,23,117,12,117,O3,TIDAK SEHAT,DKI2
2011-12-16,43,20,22,41,10,43,PM10,BAIK,DKI4
2011-12-17,42,15,19,35,10,42,PM10,BAIK,DKI4
2011-12-18,41,13,17,27,9,41,PM10,BAIK,DKI4
2011-12-19,43,12,12,34,8,43,PM10,BAIK,DKI4
2011-12-20,44,7,20,30,6,44,PM10,BAIK,DKI4
2011-12-21,53,18,22,39,8,53,PM10,SEDANG,DKI4
2011-12-22,51,17,23,199,16,199,O3,TIDAK SEHAT,DKI2
2011-12-23,50,19,25,201,13,201,O3,SANGAT TIDAK SEHAT,DKI2
2011-12-24,63,21,69,206,10,206,O3,SANGAT TIDAK SEHAT,DKI2
2011-12-25,57,18,39,190,13,190,O3,TIDAK SEHAT,DKI2
2011-12-26,57,14,33,185,11,185,O3,TIDAK SEHAT,DKI1
2011-12-27,46,15,35,90,12,90,O3,SEDANG,DKI2
2011-12-28,60,21,32,101,15,101,O3,TIDAK SEHAT,DKI2
2011-12-29,58,28,29,76,14,76,O3,SEDANG,DKI2
2011-12-30,55,22,33,81,10,81,O3,SEDANG,DKI2
2011-12-31,37,19,22,81,9,81,O3,SEDANG,DKI2
