Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-06-2012,28.3,74.0,0.0,2.0,W 
02-06-2012,29.0,77.0,0.0,3.0,N 
03-06-2012,29.3,72.0,0.0,3.0,E 
04-06-2012,28.9,75.0,17.0,2.0,E 
05-06-2012,27.2,84.0,1.0,2.0,E 
06-06-2012,28.8,76.0,42.6,3.0,E 
07-06-2012,27.8,80.0,0.0,3.0,E 
08-06-2012,29.7,74.0,6.3,3.0,SE
09-06-2012,27.2,82.0,0.0,2.0,NE
10-06-2012,28.6,82.0,0.0,2.0,E 
11-06-2012,29.0,76.0,0.0,3.0,E 
12-06-2012,28.4,72.0,0.0,3.0,E 
13-06-2012,29.4,72.0,0.0,3.0,E 
14-06-2012,28.7,77.0,0.0,2.0,N 
15-06-2012,28.4,78.0,0.0,2.0,NE
16-06-2012,30.1,67.0,0.0,2.0,E 
17-06-2012,28.8,68.0,0.0,3.0,S 
18-06-2012,29.2,66.0,0.0,4.0,E 
19-06-2012,28.9,69.0,0.0,3.0,E 
20-06-2012,29.1,67.0,0.0,3.0,E 
21-06-2012,29.1,72.0,0.0,3.0,E 
22-06-2012,29.1,72.0,0.0,3.0,E 
23-06-2012,29.3,72.0,0.0,3.0,E 
24-06-2012,29.0,71.0,0.0,3.0,E 
25-06-2012,28.9,70.0,0.0,3.0,S 
26-06-2012,28.5,70.0,0.0,3.0,E 
27-06-2012,28.7,69.0,0.0,3.0,NE
28-06-2012,28.1,69.0,0.0,2.0,NE
29-06-2012,28.6,67.0,0.0,3.0,NE
30-06-2012,28.6,67.0,0.0,3.0,NE
