Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-01-2012,26.6,87.0,7.8,3.0,W 
02-01-2012,26.7,85.0,8.3,2.0,W 
03-01-2012,27.2,86.0,8888.0,2.0,W 
04-01-2012,28.3,80.0,0.8,2.0,W 
05-01-2012,27.6,85.0,25.2,3.0,W 
06-01-2012,27.0,84.0,55.7,2.0,W 
07-01-2012,26.6,88.0,4.7,3.0,W 
08-01-2012,26.5,88.0,14.1,3.0,W 
09-01-2012,27.6,80.0,22.3,2.0,W 
10-01-2012,26.9,84.0,4.2,3.0,W 
11-01-2012,26.1,85.0,10.0,3.0,W 
12-01-2012,26.8,82.0,6.5,3.0,SW
13-01-2012,26.7,84.0,14.3,3.0,W 
14-01-2012,25.4,88.0,15.5,2.0,SW
15-01-2012,27.6,80.0,1.9,3.0,W 
16-01-2012,28.3,73.0,0.0,3.0,W 
17-01-2012,28.6,77.0,6.2,3.0,NW
18-01-2012,28.2,78.0,0.9,3.0,NW
19-01-2012,29.3,70.0,0.0,3.0,SW
20-01-2012,29.6,64.0,0.0,3.0,SW
21-01-2012,28.9,78.0,0.0,3.0,W 
22-01-2012,29.1,73.0,0.0,4.0,W 
23-01-2012,28.5,70.0,0.0,4.0,W 
24-01-2012,28.4,73.0,3.9,3.0,W 
25-01-2012,28.2,77.0,2.4,3.0,W 
26-01-2012,28.7,79.0,6.0,3.0,W 
27-01-2012,29.0,74.0,0.0,3.0,W 
28-01-2012,29.1,68.0,0.3,4.0,W 
29-01-2012,26.8,81.0,3.8,3.0,SW
30-01-2012,26.4,89.0,40.0,3.0,W 
31-01-2012,27.1,81.0,4.4,3.0,SW
