tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2015-08-01,81,32,29,91,20,91,O3,SEDANG,DKI3
2015-08-02,86,27,28,94,15,94,O3,SEDANG,DKI3
2015-08-03,67,35,25,69,17,69,O3,SEDANG,DKI3
2015-08-04,101,38,37,86,24,101,PM10,TIDAK SEHAT,DKI4
2015-08-05,91,35,21,73,20,91,PM10,SEDANG,DKI4
2015-08-06,86,34,24,84,19,86,PM10,SEDANG,DKI4
2015-08-07,62,31,19,88,18,88,O3,SEDANG,DKI3
2015-08-08,70,27,22,95,22,95,O3,SEDANG,DKI3
2015-08-09,76,30,31,71,20,76,PM10,SEDANG,DKI4
2015-08-10,68,29,23,59,13,68,PM10,SEDANG,DKI4
2015-08-11,75,29,24,74,15,75,PM10,SEDANG,DKI4
2015-08-12,66,26,21,74,22,74,O3,SEDANG,DKI3
2015-08-13,92,25,28,83,19,92,PM10,SEDANG,DKI4
2015-08-14,65,25,22,56,13,65,PM10,SEDANG,DKI4
2015-08-15,70,29,22,75,16,75,O3,SEDANG,DKI3
2015-08-16,69,27,20,68,11,69,PM10,SEDANG,DKI4
2015-08-17,72,29,18,77,14,77,O3,SEDANG,DKI3
2015-08-18,78,29,23,79,18,79,O3,SEDANG,DKI3
2015-08-19,88,29,24,82,16,88,PM10,SEDANG,DKI4
2015-08-20,94,27,25,92,28,94,PM10,SEDANG,DKI4
2015-08-21,79,29,22,98,22,98,O3,SEDANG,DKI3
2015-08-22,94,32,18,96,19,96,O3,SEDANG,DKI3
2015-08-23,97,31,22,77,20,97,PM10,SEDANG,DKI4
2015-08-24,87,33,24,84,21,87,PM10,SEDANG,DKI4
2015-08-25,96,34,25,102,21,102,O3,TIDAK SEHAT,DKI3
2015-08-26,110,35,24,95,26,110,PM10,TIDAK SEHAT,DKI4
2015-08-27,97,34,25,83,22,97,PM10,SEDANG,DKI4
2015-08-28,88,32,23,75,24,88,PM10,SEDANG,DKI4
2015-08-29,81,32,26,100,15,100,O3,SEDANG,DKI3
2015-08-30,80,30,19,75,13,80,PM10,SEDANG,DKI4
2015-08-31,69,31,19,105,24,105,O3,TIDAK SEHAT,DKI2
