tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2015-12-01,76,19,37,106,28,106,O3,TIDAK SEHAT,DKI3
2015-12-02,72,20,25,111,20,111,O3,TIDAK SEHAT,DKI2
2015-12-03,71,32,32,82,26,82,O3,SEDANG,DKI3
2015-12-04,66,30,30,84,24,84,O3,SEDANG,DKI3
2015-12-05,74,31,43,103,25,103,O3,TIDAK SEHAT,DKI3
2015-12-06,71,34,40,79,20,79,O3,SEDANG,DKI4
2015-12-07,52,31,31,63,15,63,O3,SEDANG,DKI3
2015-12-08,70,32,25,57,21,70,PM10,SEDANG,DKI2
2015-12-09,62,31,31,65,20,65,O3,SEDANG,DKI2
2015-12-10,63,28,22,85,20,85,O3,SEDANG,DKI3
2015-12-11,66,27,31,85,23,85,O3,SEDANG,DKI2
2015-12-12,61,25,27,90,19,90,O3,SEDANG,DKI2
2015-12-13,61,25,49,61,17,61,PM10,SEDANG,DKI2
2015-12-14,35,21,24,40,9,40,O3,BAIK,DKI2
2015-12-15,37,22,19,42,8,42,O3,BAIK,DKI2
2015-12-16,36,19,19,44,11,44,O3,BAIK,DKI2
2015-12-17,39,19,18,24,10,39,PM10,BAIK,DKI1
2015-12-18,46,18,19,44,12,46,PM10,BAIK,DKI1
2015-12-19,68,18,19,75,13,75,O3,SEDANG,DKI4
2015-12-20,51,18,35,97,13,97,O3,SEDANG,DKI4
2015-12-21,37,18,21,36,10,37,PM10,BAIK,DKI1
2015-12-22,48,18,19,28,9,48,PM10,BAIK,DKI1
2015-12-23,41,19,19,31,13,41,PM10,BAIK,DKI1
2015-12-24,44,18,30,33,8,44,PM10,BAIK,DKI5
2015-12-25,41,19,25,52,12,52,O3,SEDANG,DKI2
2015-12-26,44,19,30,46,9,46,O3,BAIK,DKI3
2015-12-27,53,21,28,47,15,53,PM10,SEDANG,DKI5
2015-12-28,55,21,30,45,18,55,PM10,SEDANG,DKI5
2015-12-29,61,22,34,41,17,61,PM10,SEDANG,DKI5
2015-12-30,55,22,24,50,14,55,PM10,SEDANG,DKI1
2015-12-31,43,19,29,51,9,51,O3,SEDANG,DKI2
