tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2014-02-01,61.0,6.0,30.0,48.0,12.0,61.0,PM10,SEDANG,DKI5
2014-02-02,37.0,6.0,27.0,50.0,12.0,50.0,O3,BAIK,DKI2
2014-02-03,42.0,6.0,31.0,48.0,15.0,48.0,O3,BAIK,DKI3
2014-02-04,41.0,6.0,32.0,83.0,16.0,83.0,O3,SEDANG,DKI4
2014-02-05,71.0,7.0,62.0,85.0,19.0,85.0,O3,SEDANG,DKI4
2014-02-06,63.0,7.0,49.0,83.0,18.0,83.0,O3,SEDANG,DKI4
2014-02-07,56.0,6.0,37.0,66.0,16.0,66.0,O3,SEDANG,DKI4
2014-02-08,47.0,6.0,30.0,60.0,15.0,60.0,O3,SEDANG,DKI5
2014-02-09,56.0,6.0,71.0,68.0,20.0,71.0,CO,SEDANG,DKI3
2014-02-10,46.0,7.0,36.0,80.0,27.0,80.0,O3,SEDANG,DKI4
2014-02-11,58.0,7.0,32.0,75.0,25.0,75.0,O3,SEDANG,DKI4
2014-02-12,63.0,7.0,42.0,77.0,26.0,77.0,O3,SEDANG,DKI4
2014-02-13,70.0,8.0,40.0,79.0,15.0,79.0,O3,SEDANG,DKI3
2014-02-14,60.0,8.0,46.0,63.0,18.0,63.0,O3,SEDANG,DKI2
2014-02-15,78.0,9.0,48.0,63.0,14.0,78.0,PM10,SEDANG,DKI5
2014-02-16,82.0,13.0,47.0,52.0,17.0,82.0,PM10,SEDANG,DKI5
2014-02-17,113.0,8.0,61.0,99.0,27.0,113.0,PM10,TIDAK SEHAT,DKI5
2014-02-18,76.0,7.0,38.0,62.0,25.0,76.0,PM10,SEDANG,DKI5
2014-02-19,75.0,9.0,38.0,65.0,16.0,75.0,PM10,SEDANG,DKI1
2014-02-20,91.0,12.0,38.0,90.0,34.0,91.0,PM10,SEDANG,DKI5
2014-02-21,52.0,9.0,29.0,73.0,13.0,73.0,O3,SEDANG,DKI5
2014-02-22,50.0,8.0,32.0,52.0,13.0,52.0,O3,SEDANG,DKI4
2014-02-23,34.0,8.0,42.0,54.0,15.0,54.0,O3,SEDANG,DKI4
2014-02-24,51.0,8.0,38.0,47.0,21.0,51.0,PM10,SEDANG,DKI4
2014-02-25,54.0,8.0,43.0,53.0,25.0,54.0,PM10,SEDANG,DKI1
2014-02-26,52.0,8.0,43.0,58.0,24.0,58.0,O3,SEDANG,DKI2
2014-02-27,65.0,9.0,57.0,83.0,28.0,83.0,O3,SEDANG,DKI5
2014-02-28,105.0,11.0,119.0,97.0,34.0,119.0,CO,TIDAK SEHAT,DKI5
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
