tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2014-06-01,80.0,14.0,55.0,136.0,21.0,136.0,O3,TIDAK SEHAT,DKI5
2014-06-02,76.0,15.0,26.0,65.0,16.0,76.0,PM10,SEDANG,DKI4
2014-06-03,86.0,13.0,28.0,68.0,18.0,86.0,PM10,SEDANG,DKI4
2014-06-04,89.0,15.0,32.0,87.0,19.0,89.0,PM10,SEDANG,DKI4
2014-06-05,94.0,12.0,36.0,135.0,22.0,135.0,O3,TIDAK SEHAT,DKI5
2014-06-06,84.0,11.0,42.0,94.0,26.0,94.0,O3,SEDANG,DKI5
2014-06-07,111.0,15.0,48.0,81.0,17.0,111.0,PM10,TIDAK SEHAT,DKI4
2014-06-08,92.0,17.0,31.0,236.0,15.0,236.0,O3,SANGAT TIDAK SEHAT,DKI4
2014-06-09,87.0,12.0,32.0,73.0,16.0,87.0,PM10,SEDANG,DKI4
2014-06-10,83.0,10.0,40.0,97.0,18.0,97.0,O3,SEDANG,DKI5
2014-06-11,83.0,11.0,43.0,129.0,22.0,129.0,O3,TIDAK SEHAT,DKI3
2014-06-12,75.0,10.0,37.0,214.0,21.0,214.0,O3,SANGAT TIDAK SEHAT,DKI5
2014-06-13,52.0,10.0,39.0,205.0,28.0,205.0,O3,SANGAT TIDAK SEHAT,DKI5
2014-06-14,78.0,10.0,65.0,61.0,24.0,78.0,PM10,SEDANG,DKI5
2014-06-15,53.0,10.0,35.0,65.0,16.0,65.0,O3,SEDANG,DKI4
2014-06-16,60.0,12.0,43.0,86.0,21.0,86.0,O3,SEDANG,DKI3
2014-06-17,54.0,12.0,35.0,117.0,17.0,117.0,O3,TIDAK SEHAT,DKI5
2014-06-18,66.0,11.0,34.0,87.0,17.0,87.0,O3,SEDANG,DKI5
2014-06-19,57.0,15.0,31.0,77.0,24.0,77.0,O3,SEDANG,DKI2
2014-06-20,69.0,17.0,31.0,68.0,18.0,69.0,PM10,SEDANG,DKI2
2014-06-21,71.0,15.0,28.0,70.0,13.0,71.0,PM10,SEDANG,DKI4
2014-06-22,84.0,16.0,80.0,112.0,26.0,112.0,O3,TIDAK SEHAT,DKI2
2014-06-23,79.0,12.0,34.0,92.0,17.0,92.0,O3,SEDANG,DKI2
2014-06-24,68.0,13.0,40.0,70.0,13.0,70.0,O3,SEDANG,DKI2
2014-06-25,79.0,15.0,32.0,66.0,14.0,79.0,PM10,SEDANG,DKI4
2014-06-26,60.0,11.0,35.0,67.0,24.0,67.0,O3,SEDANG,DKI5
2014-06-27,95.0,13.0,57.0,75.0,25.0,95.0,PM10,SEDANG,DKI5
2014-06-28,64.0,11.0,31.0,92.0,20.0,92.0,O3,SEDANG,DKI4
2014-06-29,90.0,15.0,26.0,88.0,19.0,90.0,PM10,SEDANG,DKI4
2014-06-30,75.0,12.0,34.0,117.0,22.0,117.0,O3,TIDAK SEHAT,DKI5
,,,,,,,,,
