Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-10-2017,28.0,78.0,0.0,2.0,N 
02-10-2017,28.7,79.0,30.6,1.0,N 
03-10-2017,28.8,78.0,1.0,1.0,N 
04-10-2017,28.0,79.0,0.3,1.0,N 
05-10-2017,29.8,74.0,0.0,2.0,N 
06-10-2017,29.6,76.0,0.0,1.0,N 
07-10-2017,29.9,70.0,0.0,2.0,S 
08-10-2017,29.1,72.0,0.0,1.0,N 
09-10-2017,29.0,77.0,0.0,1.0,N 
10-10-2017,28.5,78.0,3.1,1.0,N 
11-10-2017,29.4,76.0,0.0,1.0,N 
12-10-2017,28.7,76.0,0.0,1.0,N 
13-10-2017,28.8,70.0,8888.0,2.0,N 
14-10-2017,29.4,73.0,0.0,2.0,N 
15-10-2017,29.7,66.0,8888.0,1.0,N 
16-10-2017,28.4,77.0,0.0,2.0,N 
17-10-2017,28.5,74.0,5.2,2.0,N 
18-10-2017,28.9,75.0,0.0,1.0,N 
19-10-2017,27.5,83.0,4.2,1.0,N 
20-10-2017,28.7,75.0,6.0,1.0,N 
21-10-2017,30.0,73.0,0.0,1.0,N 
22-10-2017,30.1,72.0,0.0,1.0,N 
23-10-2017,27.7,73.0,0.0,1.0,N 
24-10-2017,29.3,73.0,50.0,2.0,W 
25-10-2017,28.8,74.0,0.0,1.0,N 
26-10-2017,29.6,70.0,0.0,1.0,N 
27-10-2017,29.3,69.0,0.0,1.0,N 
28-10-2017,28.6,79.0,8888.0,2.0,W 
29-10-2017,28.5,81.0,12.0,1.0,N 
30-10-2017,28.9,75.0,0.0,1.0,N 
31-10-2017,29.7,68.0,0.0,2.0,N 
