Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-01-2013,26.2,91.0,1.7,3.0,NW
02-01-2013,27.9,79.0,0.0,3.0,NW
03-01-2013,28.6,79.0,1.3,4.0,NW
04-01-2013,26.3,86.0,34.4,5.0,W 
05-01-2013,26.6,82.0,6.4,4.0,W 
06-01-2013,26.5,84.0,0.0,5.0,W 
07-01-2013,27.6,79.0,3.5,3.0,W 
08-01-2013,26.4,86.0,7.4,5.0,W 
09-01-2013,24.7,93.0,22.3,4.0,W 
10-01-2013,26.6,81.0,20.0,5.0,W 
11-01-2013,27.5,77.0,0.0,4.0,W 
12-01-2013,26.6,82.0,98.1,3.0,W 
13-01-2013,26.8,86.0,3.0,3.0,W 
14-01-2013,27.3,85.0,55.7,4.0,W 
15-01-2013,25.7,92.0,37.9,3.0,W 
16-01-2013,26.3,90.0,81.0,2.0,NW
17-01-2013,25.2,96.0,193.4,3.0,W 
18-01-2013,26.2,90.0,1.4,2.0,NW
19-01-2013,27.8,81.0,16.6,5.0,NW
20-01-2013,27.5,82.0,3.4,2.0,NW
21-01-2013,28.6,78.0,0.0,3.0,W 
22-01-2013,26.8,86.0,0.0,2.0,W 
23-01-2013,26.5,85.0,10.2,3.0,W 
24-01-2013,27.3,84.0,2.3,3.0,NW
25-01-2013,26.0,90.0,11.6,2.0,NW
26-01-2013,27.2,84.0,0.0,3.0,NW
27-01-2013,27.7,80.0,0.0,4.0,W 
28-01-2013,27.2,82.0,0.8,3.0,W 
29-01-2013,28.0,80.0,9.5,3.0,NW
30-01-2013,27.1,84.0,0.0,2.0,NE
31-01-2013,28.2,79.0,8888.0,3.0,NW
