Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-05-2020,28.8,80.0,,2.0,E 
02-05-2020,27.1,85.0,8888.0,1.0,C 
03-05-2020,29.3,76.0,1.0,1.0,C 
04-05-2020,28.7,79.0,,1.0,C 
05-05-2020,29.6,76.0,1.6,2.0,C 
06-05-2020,29.6,79.0,,1.0,C 
07-05-2020,30.2,72.0,0.2,1.0,C 
08-05-2020,30.2,73.0,,1.0,C 
09-05-2020,28.4,82.0,,1.0,C 
10-05-2020,28.8,81.0,1.0,2.0,C 
11-05-2020,29.3,78.0,0.0,1.0,C 
12-05-2020,30.3,75.0,,1.0,C 
13-05-2020,29.9,79.0,3.8,1.0,C 
14-05-2020,29.4,76.0,,2.0,C 
15-05-2020,30.0,70.0,,1.0,C 
16-05-2020,30.2,70.0,,1.0,C 
17-05-2020,29.9,75.0,0.0,2.0,C 
18-05-2020,28.2,84.0,,1.0,C 
19-05-2020,28.7,76.0,12.8,1.0,C 
20-05-2020,29.7,75.0,,2.0,C 
21-05-2020,28.9,80.0,29.0,1.0,C 
22-05-2020,29.7,81.0,0.0,2.0,C 
23-05-2020,29.6,73.0,0.0,1.0,C 
24-05-2020,31.2,65.0,,1.0,C 
25-05-2020,30.4,72.0,,1.0,C 
26-05-2020,29.9,73.0,1.0,2.0,C 
27-05-2020,29.5,74.0,0.0,1.0,C 
28-05-2020,29.8,76.0,,1.0,C 
29-05-2020,29.6,78.0,,1.0,C 
30-05-2020,29.6,76.0,,1.0,C 
31-05-2020,29.4,73.0,0.0,1.0,C 
