Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-12-2020,29.4,70.0,8888.0,2.0,C 
02-12-2020,29.4,70.0,,2.0,NW
03-12-2020,26.9,79.0,5.0,1.0,C 
04-12-2020,27.8,80.0,1.4,1.0,C 
05-12-2020,27.5,80.0,14.4,2.0,C 
06-12-2020,26.0,90.0,32.5,3.0,W 
07-12-2020,26.1,88.0,34.8,1.0,C 
08-12-2020,28.4,78.0,7.2,2.0,W 
09-12-2020,28.9,75.0,9.3,2.0,C 
10-12-2020,27.8,80.0,,2.0,NW
11-12-2020,28.1,80.0,0.4,3.0,W 
12-12-2020,27.7,78.0,4.8,2.0,W 
13-12-2020,27.0,83.0,8888.0,1.0,C 
14-12-2020,28.0,76.0,8888.0,2.0,W 
15-12-2020,27.7,78.0,,4.0,W 
16-12-2020,28.1,76.0,9.0,2.0,W 
17-12-2020,27.5,79.0,6.0,2.0,W 
18-12-2020,28.3,74.0,,1.0,C 
19-12-2020,28.2,74.0,,3.0,SW
20-12-2020,27.2,81.0,8888.0,2.0,W 
21-12-2020,27.4,76.0,4.2,2.0,C 
22-12-2020,28.6,73.0,8888.0,2.0,W 
23-12-2020,29.6,65.0,0.0,2.0,W 
24-12-2020,28.9,68.0,0.0,2.0,C 
25-12-2020,29.3,67.0,8888.0,1.0,C 
26-12-2020,28.9,70.0,0.7,3.0,W 
27-12-2020,29.4,70.0,8888.0,3.0,NW
28-12-2020,29.1,70.0,,3.0,W 
29-12-2020,28.3,73.0,0.0,2.0,C 
30-12-2020,28.0,75.0,,2.0,W 
ddd_car: Arah angin terbanyak (°),,,,,
