Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-09-2020,29.9,61.0,0.0,1.0,C 
02-09-2020,29.1,70.0,,2.0,W 
03-09-2020,28.9,71.0,1.4,1.0,C 
04-09-2020,30.2,68.0,,2.0,C 
05-09-2020,29.6,74.0,,1.0,C 
06-09-2020,29.0,71.0,0.0,1.0,C 
07-09-2020,29.7,66.0,,2.0,C 
08-09-2020,30.0,64.0,0.0,1.0,C 
09-09-2020,30.3,62.0,0.0,2.0,C 
10-09-2020,29.5,71.0,,2.0,C 
11-09-2020,29.3,70.0,,1.0,C 
12-09-2020,29.2,72.0,0.0,1.0,C 
13-09-2020,29.2,67.0,0.0,2.0,C 
14-09-2020,28.9,71.0,8888.0,4.0,E 
15-09-2020,,,,,
16-09-2020,,,,,
17-09-2020,,,,,
18-09-2020,,,,,
19-09-2020,,,,,
20-09-2020,,,,,
21-09-2020,,,,,
22-09-2020,,,,,
23-09-2020,,,,,
24-09-2020,,,,,
25-09-2020,,,,,
26-09-2020,,,,,
27-09-2020,,,,,
28-09-2020,29.4,70.0,2.5,2.0,C 
29-09-2020,29.7,64.0,0.0,2.0,C 
30-09-2020,30.3,64.0,,2.0,C 
