Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-01-2020,26.8,90.0,145.3,1.0,C 
02-01-2020,27.6,80.0,58.8,2.0,C 
03-01-2020,28.5,77.0,0.0,2.0,C 
04-01-2020,28.3,82.0,2.5,2.0,C 
05-01-2020,27.9,85.0,0.2,1.0,C 
06-01-2020,27.0,87.0,18.2,1.0,C 
07-01-2020,26.9,89.0,15.0,1.0,C 
08-01-2020,28.2,80.0,2.8,1.0,C 
09-01-2020,27.7,85.0,28.7,2.0,W 
10-01-2020,25.9,90.0,23.6,1.0,C 
11-01-2020,26.5,87.0,20.4,2.0,W 
12-01-2020,27.9,80.0,4.3,1.0,C 
13-01-2020,27.5,82.0,1.5,1.0,C 
14-01-2020,28.5,80.0,0.5,3.0,NW
15-01-2020,27.9,82.0,33.8,1.0,C 
16-01-2020,28.2,83.0,0.0,2.0,C 
17-01-2020,28.4,82.0,8888.0,2.0,C 
18-01-2020,27.5,81.0,78.5,1.0,C 
19-01-2020,28.1,78.0,3.8,1.0,C 
20-01-2020,28.4,83.0,0.0,2.0,NW
21-01-2020,28.6,82.0,2.4,1.0,C 
22-01-2020,29.0,80.0,0.3,1.0,C 
23-01-2020,28.3,83.0,74.0,1.0,C 
24-01-2020,26.8,92.0,7.8,0.0,C 
25-01-2020,27.1,89.0,123.7,1.0,C 
26-01-2020,28.2,84.0,7.4,2.0,C 
27-01-2020,28.3,80.0,12.3,1.0,C 
28-01-2020,29.0,76.0,4.2,2.0,C 
29-01-2020,29.5,80.0,0.0,3.0,NW
30-01-2020,27.4,82.0,22.0,1.0,C 
31-01-2020,28.3,84.0,0.0,2.0,C 
