tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2010-02-01,41,7,30,17,13,41,PM10,BAIK,DKI1
2010-02-02,50,4,30,23,12,50,PM10,BAIK,DKI1
2010-02-03,49,7,33,57,23,57,O3,SEDANG,DKI1
2010-02-04,59,9,38,75,26,75,O3,SEDANG,DKI1
2010-02-05,63,7,39,41,23,63,PM10,SEDANG,DKI1
2010-02-06,65,8,59,24,15,65,PM10,SEDANG,DKI1
2010-02-07,60,10,45,47,17,60,PM10,SEDANG,DKI1
2010-02-08,46,5,31,42,17,46,PM10,BAIK,DKI1
2010-02-09,52,7,30,34,16,52,PM10,SEDANG,DKI1
2010-02-10,50,8,31,39,14,50,PM10,BAIK,DKI1
2010-02-11,47,5,27,26,14,47,PM10,BAIK,DKI1
2010-02-12,56,6,33,45,20,56,PM10,SEDANG,DKI1
2010-02-13,55,6,39,14,14,55,PM10,SEDANG,DKI1
2010-02-14,55,6,61,16,13,61,CO,SEDANG,DKI1
2010-02-15,40,4,30,63,22,63,O3,SEDANG,DKI1
2010-02-16,56,4,43,25,20,56,PM10,SEDANG,DKI1
2010-02-17,52,4,34,30,17,52,PM10,SEDANG,DKI1
2010-02-18,41,5,26,14,10,41,PM10,BAIK,DKI1
2010-02-19,37,4,43,17,17,43,CO,BAIK,DKI1
2010-02-20,52,3,64,18,12,64,CO,SEDANG,DKI1
2010-02-21,61,4,53,36,15,61,PM10,SEDANG,DKI1
2010-02-22,34,4,31,23,16,34,PM10,BAIK,DKI1
2010-02-23,57,7,35,42,18,57,PM10,SEDANG,DKI1
2010-02-24,59,4,44,93,24,93,O3,SEDANG,DKI1
2010-02-25,65,6,55,26,26,65,PM10,SEDANG,DKI1
2010-02-26,68,9,67,67,22,68,PM10,SEDANG,DKI1
2010-02-27,67,8,47,47,19,67,PM10,SEDANG,DKI1
2010-02-28,65,6,38,80,23,80,O3,SEDANG,DKI1
