Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-05-2012,28.2,80.0,0.0,2.0,NE,59,28,46,100,17
02-05-2012,29.9,76.0,0.0,2.0,N ,76,20,44,236,20
03-05-2012,28.6,82.0,3.8,3.0,N ,73,21,41,226,20
04-05-2012,29.0,71.0,0.0,3.0,E ,72,21,24,226,17
05-05-2012,29.7,74.0,0.0,3.0,N ,108,32,31,116,16
06-05-2012,29.4,76.0,0.5,2.0,N ,83,21,31,180,15
07-05-2012,26.0,89.0,42.4,3.0,E ,74,22,34,147,15
08-05-2012,27.9,81.0,0.0,3.0,S ,79,33,72,115,25
09-05-2012,28.8,77.0,0.0,3.0,N ,76,27,53,164,31
10-05-2012,29.1,79.0,0.0,3.0,NE,81,25,38,170,25
11-05-2012,29.3,72.0,0.0,2.0,N ,66,25,38,173,26
12-05-2012,29.2,72.0,0.0,3.0,N ,70,27,33,164,17
13-05-2012,29.3,72.0,0.0,3.0,N ,82,40,27,207,15
14-05-2012,29.7,68.0,0.0,3.0,W ,59,31,30,144,15
15-05-2012,28.6,77.0,0.0,3.0,E ,68,27,37,164,19
16-05-2012,28.2,83.0,9.7,3.0,N ,88,28,32,196,17
17-05-2012,29.1,76.0,0.0,3.0,E ,73,25,43,178,23
18-05-2012,28.6,78.0,17.0,3.0,NE,81,25,24,165,19
19-05-2012,29.1,73.0,0.0,4.0,E ,89,23,32,146,20
20-05-2012,29.7,75.0,0.0,4.0,E ,92,24,18,213,9
21-05-2012,29.4,74.0,0.0,3.0,E ,72,23,34,164,23
22-05-2012,29.7,67.0,0.0,3.0,N ,64,23,31,165,24
23-05-2012,29.4,68.0,0.0,3.0,N ,108,28,33,140,28
24-05-2012,29.7,70.0,0.0,3.0,E ,67,27,33,89,19
25-05-2012,29.0,72.0,0.0,3.0,E ,67,26,34,89,23
26-05-2012,28.7,69.0,0.0,3.0,NE,81,25,28,72,14
27-05-2012,29.3,66.0,0.0,4.0,E ,86,25,21,59,15
28-05-2012,29.0,72.0,0.1,3.0,NE,83,26,30,164,16
29-05-2012,29.8,70.0,0.0,3.0,NE,91,22,38,187,17
30-05-2012,29.9,70.0,0.0,2.0,N ,80,27,32,89,17
31-05-2012,26.4,81.0,5.4,3.0,W ,139,32,40,76,19
