Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-06-2012,28.3,74.0,0.0,2.0,W ,97.0,32.0,70.0,107.0,28.0
02-06-2012,29.0,77.0,0.0,3.0,N ,86.0,31.0,44.0,140.0,25.0
03-06-2012,29.3,72.0,0.0,3.0,E ,94.0,31.0,30.0,129.0,23.0
04-06-2012,28.9,75.0,17.0,2.0,E ,82.0,31.0,30.0,93.0,18.0
05-06-2012,27.2,84.0,1.0,2.0,E ,74.0,24.0,38.0,169.0,18.0
06-06-2012,28.8,76.0,42.6,3.0,E ,79.0,31.0,35.0,201.0,18.0
07-06-2012,27.8,80.0,0.0,3.0,E ,58.0,26.0,36.0,137.0,19.0
08-06-2012,29.7,74.0,6.3,3.0,SE,72.0,36.0,37.0,141.0,16.0
09-06-2012,27.2,82.0,0.0,2.0,NE,66.0,22.0,38.0,215.0,24.0
10-06-2012,28.6,82.0,0.0,2.0,E ,71.0,26.0,36.0,208.0,20.0
11-06-2012,29.0,76.0,0.0,3.0,E ,96.0,21.0,53.0,204.0,34.0
12-06-2012,28.4,72.0,0.0,3.0,E ,84.0,30.0,46.0,168.0,22.0
13-06-2012,29.4,72.0,0.0,3.0,E ,121.0,34.0,34.0,138.0,19.0
14-06-2012,28.7,77.0,0.0,2.0,N ,91.0,28.0,35.0,155.0,20.0
15-06-2012,28.4,78.0,0.0,2.0,NE,83.0,28.0,37.0,216.0,23.0
16-06-2012,30.1,67.0,0.0,2.0,E ,94.0,34.0,37.0,209.0,22.0
17-06-2012,28.8,68.0,0.0,3.0,S ,85.0,25.0,22.0,93.0,16.0
18-06-2012,29.2,66.0,0.0,4.0,E ,95.0,25.0,20.0,69.0,11.0
19-06-2012,28.9,69.0,0.0,3.0,E ,92.0,32.0,19.0,87.0,20.0
20-06-2012,29.1,67.0,0.0,3.0,E ,95.0,35.0,25.0,85.0,17.0
21-06-2012,29.1,72.0,0.0,3.0,E ,120.0,30.0,34.0,107.0,23.0
22-06-2012,29.1,72.0,0.0,3.0,E ,96.0,24.0,31.0,123.0,14.0
23-06-2012,29.3,72.0,0.0,3.0,E ,94.0,31.0,28.0,96.0,12.0
24-06-2012,29.0,71.0,0.0,3.0,E ,105.0,24.0,27.0,187.0,16.0
25-06-2012,28.9,70.0,0.0,3.0,S ,79.0,27.0,28.0,80.0,14.0
26-06-2012,28.5,70.0,0.0,3.0,E ,72.0,27.0,23.0,72.0,15.0
27-06-2012,28.7,69.0,0.0,3.0,NE,80.0,30.0,30.0,98.0,29.0
28-06-2012,28.1,69.0,0.0,2.0,NE,113.0,31.0,35.0,135.0,28.0
29-06-2012,28.6,67.0,0.0,3.0,NE,107.0,34.0,32.0,115.0,26.0
30-06-2012,28.6,67.0,0.0,3.0,NE,98.0,29.0,29.0,87.0,16.0
,,,,,,,,,,
