Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-01-2020,26.8,90.0,145.3,1.0,C ,38,36,25,46,9
02-01-2020,27.6,80.0,58.8,2.0,C ,45,36,39,102,8
03-01-2020,28.5,77.0,0.0,2.0,C ,51,37,27,63,10
04-01-2020,28.3,82.0,2.5,2.0,C ,51,38,19,85,10
05-01-2020,27.9,85.0,0.2,1.0,C ,52,39,25,62,9
06-01-2020,27.0,87.0,18.2,1.0,C ,62,37,39,64,9
07-01-2020,26.9,89.0,15.0,1.0,C ,50,38,39,66,11
08-01-2020,28.2,80.0,2.8,1.0,C ,52,40,22,70,11
09-01-2020,27.7,85.0,28.7,2.0,W ,82,38,58,71,13
10-01-2020,25.9,90.0,23.6,1.0,C ,44,37,27,47,9
11-01-2020,26.5,87.0,20.4,2.0,W ,44,38,25,80,9
12-01-2020,27.9,80.0,4.3,1.0,C ,43,38,17,46,5
13-01-2020,27.5,82.0,1.5,1.0,C ,42,38,15,51,8
14-01-2020,28.5,80.0,0.5,3.0,NW,40,32,17,48,9
15-01-2020,27.9,82.0,33.8,1.0,C ,44,29,16,63,9
16-01-2020,28.2,83.0,0.0,2.0,C ,70,60,41,78,12
17-01-2020,28.4,82.0,0.0,2.0,C ,86,34,40,125,20
18-01-2020,27.5,81.0,78.5,1.0,C ,59,30,25,75,7
19-01-2020,28.1,78.0,3.8,1.0,C ,76,34,71,110,15
20-01-2020,28.4,83.0,0.0,2.0,NW,56,31,20,65,9
21-01-2020,28.6,82.0,2.4,1.0,C ,62,36,41,50,15
22-01-2020,29.0,80.0,0.3,1.0,C ,82,36,43,64,15
23-01-2020,28.3,83.0,74.0,1.0,C ,60,32,29,59,18
24-01-2020,26.8,92.0,7.8,0.0,C ,71,30,31,44,13
25-01-2020,27.1,89.0,123.7,1.0,C ,40,29,34,80,12
26-01-2020,28.2,84.0,7.4,2.0,C ,63,30,51,89,11
27-01-2020,28.3,80.0,12.3,1.0,C ,48,30,29,83,13
28-01-2020,29.0,76.0,4.2,2.0,C ,72,31,39,74,17
29-01-2020,29.5,80.0,0.0,3.0,NW,70,30,42,92,19
30-01-2020,27.4,82.0,22.0,1.0,C ,38,30,21,80,20
31-01-2020,28.3,84.0,0.0,2.0,C ,56,30,27,54,16
