Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-09-2020,29.9,61.0,0.0,1.0,C ,71,96,26,88,70
02-09-2020,29.1,70.0,,2.0,W ,72,97,26,92,122
03-09-2020,28.9,71.0,1.4,1.0,C ,80,92,25,90,94
04-09-2020,30.2,68.0,,2.0,C ,66,88,25,56,54
05-09-2020,29.6,74.0,,1.0,C ,70,89,25,123,121
06-09-2020,29.0,71.0,0.0,1.0,C ,75,98,25,140,121
07-09-2020,29.7,66.0,,2.0,C ,72,103,27,113,84
08-09-2020,30.0,64.0,0.0,1.0,C ,78,90,28,78,61
09-09-2020,30.3,62.0,0.0,2.0,C ,82,97,28,65,62
10-09-2020,29.5,71.0,,2.0,C ,77,80,26,141,95
11-09-2020,29.3,70.0,,1.0,C ,89,101,27,109,104
12-09-2020,29.2,72.0,0.0,1.0,C ,67,101,25,128,132
13-09-2020,29.2,67.0,0.0,2.0,C ,72,94,25,109,130
14-09-2020,28.9,71.0,0.0,4.0,E ,72,102,26,85,89
15-09-2020,,,,,,57,87,36,99,80
16-09-2020,,,,,,67,89,26,117,84
17-09-2020,,,,,,65,79,29,86,83
18-09-2020,,,,,,70,94,26,60,70
19-09-2020,,,,,,88,97,42,96,68
20-09-2020,,,,,,73,87,26,38,48
21-09-2020,,,,,,65,71,27,91,84
22-09-2020,,,,,,62,60,26,84,83
23-09-2020,,,,,,73,101,33,162,125
24-09-2020,,,,,,57,94,29,111,128
25-09-2020,,,,,,74,95,30,108,114
26-09-2020,,,,,,73,105,30,118,99
27-09-2020,,,,,,70,96,31,98,93
28-09-2020,29.4,70.0,2.5,2.0,C ,74,77,31,97,79
29-09-2020,29.7,64.0,0.0,2.0,C ,68,72,34,97,92
30-09-2020,30.3,64.0,,2.0,C ,57,78,34,78,82
