Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-09-2011,29.5,71.0,0.0,3.0,E 
02-09-2011,29.5,67.0,0.0,3.0,E 
03-09-2011,28.9,67.0,0.0,3.0,SW
04-09-2011,29.0,66.0,0.0,2.0,N 
05-09-2011,29.0,67.0,0.0,3.0,E 
06-09-2011,29.4,63.0,0.0,3.0,E 
07-09-2011,29.4,65.0,0.0,3.0,E 
08-09-2011,29.5,69.0,0.0,3.0,SW
09-09-2011,28.7,60.0,0.0,2.0,E 
10-09-2011,28.8,65.0,0.0,3.0,SW
11-09-2011,29.1,65.0,0.0,3.0,W 
12-09-2011,29.6,62.0,0.0,3.0,E 
13-09-2011,29.6,68.0,0.0,3.0,SE
14-09-2011,29.7,70.0,0.0,3.0,E 
15-09-2011,28.6,72.0,2.2,3.0,E 
16-09-2011,28.7,72.0,50.4,3.0,E 
17-09-2011,27.8,79.0,0.0,3.0,N 
18-09-2011,28.8,74.0,0.0,3.0,E 
19-09-2011,28.7,69.0,0.0,2.0,SW
20-09-2011,28.8,71.0,0.0,2.0,N 
21-09-2011,28.9,70.0,0.0,3.0,N 
22-09-2011,29.0,67.0,0.0,3.0,E 
23-09-2011,29.5,68.0,0.0,3.0,SW
24-09-2011,29.0,68.0,0.0,2.0,E 
25-09-2011,29.0,70.0,0.0,2.0,E 
26-09-2011,29.0,68.0,0.0,3.0,E 
27-09-2011,28.7,68.0,0.0,3.0,W 
28-09-2011,28.7,68.0,0.0,2.0,W 
29-09-2011,27.9,74.0,0.0,2.0,N 
30-09-2011,28.8,70.0,0.0,3.0,E 
