Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-02-2011,27.6,76.0,1.2,3.0,W 
02-02-2011,27.8,78.0,3.8,3.0,W 
03-02-2011,27.2,82.0,3.0,2.0,W 
04-02-2011,26.2,85.0,11.6,3.0,W 
05-02-2011,26.8,80.0,12.8,3.0,W 
06-02-2011,26.4,85.0,4.8,3.0,SW
07-02-2011,26.9,82.0,0.0,3.0,W 
08-02-2011,27.2,80.0,4.2,2.0,SW
09-02-2011,28.5,75.0,0.0,3.0,W 
10-02-2011,28.0,66.0,0.0,3.0,SW
11-02-2011,29.0,76.0,2.4,3.0,W 
12-02-2011,28.3,78.0,0.0,3.0,W 
13-02-2011,28.6,77.0,3.5,2.0,N 
14-02-2011,26.1,90.0,119.2,2.0,W 
15-02-2011,26.1,85.0,0.0,3.0,W 
16-02-2011,27.8,82.0,9.7,3.0,W 
17-02-2011,27.8,80.0,0.0,3.0,W 
18-02-2011,28.8,77.0,1.0,2.0,W 
19-02-2011,27.9,76.0,4.0,3.0,NW
20-02-2011,29.0,77.0,2.0,3.0,W 
21-02-2011,28.8,77.0,0.0,3.0,W 
22-02-2011,28.3,80.0,0.0,3.0,W 
23-02-2011,28.2,77.0,0.0,3.0,W 
24-02-2011,28.8,70.0,0.0,3.0,W 
25-02-2011,27.7,76.0,2.7,3.0,W 
26-02-2011,27.4,80.0,10.9,3.0,W 
27-02-2011,26.1,87.0,30.4,3.0,SW
28-02-2011,25.4,88.0,3.5,3.0,SW
