Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-04-2011,26.4,83.0,0.6,3.0,W 
02-04-2011,29.4,72.0,0.0,4.0,W 
03-04-2011,28.8,73.0,8.0,4.0,W 
04-04-2011,29.1,70.0,0.0,3.0,W 
05-04-2011,29.3,67.0,0.0,4.0,W 
06-04-2011,29.6,67.0,0.0,5.0,W 
07-04-2011,29.5,70.0,0.0,4.0,W 
08-04-2011,28.5,77.0,0.1,3.0,W 
09-04-2011,28.5,73.0,0.0,3.0,W 
10-04-2011,29.4,70.0,0.0,3.0,W 
11-04-2011,27.7,76.0,3.4,3.0,W 
12-04-2011,27.8,80.0,0.1,3.0,W 
13-04-2011,28.5,77.0,8888.0,3.0,W 
14-04-2011,28.0,79.0,0.7,3.0,W 
15-04-2011,28.5,75.0,2.4,3.0,W 
16-04-2011,28.4,76.0,12.4,3.0,E 
17-04-2011,28.6,75.0,32.5,2.0,W 
18-04-2011,28.2,78.0,30.8,2.0,W 
19-04-2011,28.2,76.0,0.0,2.0,W 
20-04-2011,28.8,77.0,1.2,3.0,N 
21-04-2011,28.8,74.0,0.0,2.0,E 
22-04-2011,28.8,76.0,4.0,3.0,NE
23-04-2011,28.8,78.0,0.0,2.0,N 
24-04-2011,28.1,82.0,8888.0,2.0,E 
25-04-2011,28.8,76.0,0.0,2.0,E 
26-04-2011,29.4,76.0,0.0,2.0,E 
27-04-2011,28.5,78.0,8888.0,2.0,N 
28-04-2011,29.1,73.0,0.0,3.0,E 
29-04-2011,29.0,74.0,0.0,3.0,E 
30-04-2011,27.8,82.0,10.6,2.0,N 
