tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-11-01,59.0,53.0,33.0,144.0,15.0,144.0,O3,TIDAK SEHAT,DKI5
2017-11-02,83.0,54.0,37.0,138.0,18.0,138.0,O3,TIDAK SEHAT,DKI2
2017-11-03,65.0,53.0,32.0,160.0,15.0,160.0,O3,TIDAK SEHAT,DKI5
2017-11-04,66.0,53.0,34.0,91.0,24.0,91.0,O3,SEDANG,DKI5
2017-11-05,72.0,53.0,43.0,81.0,18.0,81.0,O3,SEDANG,DKI5
2017-11-06,54.0,53.0,32.0,62.0,12.0,62.0,O3,SEDANG,DKI5
2017-11-07,51.0,53.0,31.0,56.0,11.0,56.0,O3,SEDANG,DKI3
2017-11-08,57.0,53.0,47.0,65.0,20.0,65.0,O3,SEDANG,DKI5
2017-11-09,59.0,53.0,34.0,75.0,16.0,75.0,O3,SEDANG,DKI2
2017-11-10,52.0,53.0,45.0,106.0,18.0,106.0,O3,TIDAK SEHAT,DKI4
2017-11-11,58.0,53.0,35.0,150.0,19.0,150.0,O3,TIDAK SEHAT,DKI1
2017-11-12,51.0,52.0,33.0,99.0,12.0,99.0,O3,SEDANG,DKI4
2017-11-13,51.0,53.0,37.0,66.0,19.0,66.0,O3,SEDANG,DKI2
2017-11-14,58.0,53.0,42.0,99.0,22.0,99.0,O3,SEDANG,DKI3
2017-11-15,48.0,53.0,32.0,121.0,29.0,121.0,O3,TIDAK SEHAT,DKI3
2017-11-16,72.0,54.0,30.0,125.0,19.0,125.0,O3,TIDAK SEHAT,DKI1
2017-11-17,57.0,54.0,57.0,126.0,26.0,126.0,O3,TIDAK SEHAT,DKI4
2017-11-18,60.0,55.0,31.0,110.0,16.0,110.0,O3,TIDAK SEHAT,DKI5
2017-11-19,56.0,53.0,36.0,85.0,16.0,85.0,O3,SEDANG,DKI5
2017-11-20,55.0,54.0,34.0,128.0,12.0,128.0,O3,TIDAK SEHAT,DKI1
2017-11-21,59.0,54.0,35.0,153.0,15.0,153.0,O3,TIDAK SEHAT,DKI5
2017-11-22,65.0,54.0,41.0,117.0,23.0,117.0,O3,TIDAK SEHAT,DKI4
2017-11-23,70.0,55.0,48.0,71.0,20.0,71.0,O3,SEDANG,DKI2
2017-11-24,40.0,53.0,29.0,42.0,18.0,53.0,SO2,SEDANG,DKI2
2017-11-25,40.0,53.0,30.0,38.0,7.0,53.0,SO2,SEDANG,DKI2
2017-11-26,28.0,53.0,25.0,37.0,6.0,53.0,SO2,SEDANG,DKI2
2017-11-27,20.0,53.0,26.0,37.0,7.0,53.0,SO2,SEDANG,DKI2
2017-11-28,19.0,53.0,26.0,33.0,7.0,53.0,SO2,SEDANG,DKI2
2017-11-29,25.0,53.0,25.0,37.0,15.0,53.0,SO2,SEDANG,DKI2
2017-11-30,29.0,53.0,32.0,43.0,13.0,53.0,SO2,SEDANG,DKI2
,,,,,,,,,
