Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-08-2016,29.3,73.0,0.0,1.0,N 
02-08-2016,28.2,79.0,24.5,1.0,N 
03-08-2016,28.4,63.0,2.8,1.0,N 
04-08-2016,28.5,72.0,0.0,1.0,N 
05-08-2016,28.7,71.0,0.0,1.0,N 
06-08-2016,28.9,71.0,0.0,2.0,N 
07-08-2016,28.4,74.0,0.0,1.0,N 
08-08-2016,28.3,82.0,6.5,1.0,N 
09-08-2016,28.5,79.0,18.2,1.0,N 
10-08-2016,29.0,77.0,2.6,1.0,N 
11-08-2016,28.8,79.0,4.0,1.0,N 
12-08-2016,28.4,77.0,8888.0,1.0,N 
13-08-2016,29.5,72.0,0.0,1.0,N 
14-08-2016,26.5,87.0,28.8,1.0,N 
15-08-2016,28.0,79.0,5.6,1.0,N 
16-08-2016,28.4,77.0,0.0,1.0,N 
17-08-2016,29.0,73.0,0.0,2.0,N 
18-08-2016,28.8,75.0,0.0,1.0,N 
19-08-2016,29.2,76.0,0.0,1.0,N 
20-08-2016,27.7,76.0,50.0,1.0,N 
21-08-2016,28.5,75.0,0.0,1.0,N 
22-08-2016,28.3,75.0,8888.0,1.0,N 
23-08-2016,28.1,78.0,4.0,2.0,N 
24-08-2016,27.6,80.0,13.8,2.0,N 
25-08-2016,28.1,76.0,0.0,1.0,N 
26-08-2016,28.6,79.0,0.0,1.0,N 
27-08-2016,28.1,78.0,0.0,2.0,E 
28-08-2016,28.6,77.0,3.6,1.0,N 
29-08-2016,27.9,83.0,0.0,0.0,N 
30-08-2016,25.9,92.0,20.0,1.0,N 
31-08-2016,28.8,77.0,42.8,1.0,N 
