Date,Temperature,Humidity,Precipitation,Wind Speed,Wind Direction,pm10,so2,co,o3,no2
01-12-2018,28.6,80.0,0.0,0.0,C ,60,26,27,112,17
02-12-2018,29.1,74.0,0.0,1.0,N ,73,36,22,132,21
03-12-2018,27.5,85.0,0.0,0.0,N ,65,31,21,97,20
04-12-2018,27.8,81.0,11.4,1.0,N ,64,24,31,71,21
05-12-2018,28.2,82.0,2.0,1.0,C ,62,25,33,81,22
06-12-2018,28.1,78.0,1.0,1.0,C ,61,27,33,94,17
07-12-2018,28.9,75.0,4.0,1.0,N ,59,40,29,134,15
08-12-2018,29.3,77.0,0.0,1.0,C ,68,25,30,134,27
09-12-2018,29.0,79.0,0.0,1.0,C ,60,25,25,104,19
10-12-2018,28.5,79.0,0.0,1.0,C ,68,24,32,137,19
11-12-2018,29.1,75.0,0.0,1.0,N ,82,26,50,123,34
12-12-2018,28.4,78.0,0.0,1.0,N ,58,26,31,214,22
13-12-2018,29.4,75.0,0.8,1.0,N ,52,26,24,117,26
14-12-2018,29.3,70.0,0.0,2.0,W ,50,24,21,92,18
15-12-2018,28.5,73.0,6.0,2.0,W ,37,24,16,47,6
16-12-2018,29.6,67.0,0.0,2.0,W ,46,25,11,63,9
17-12-2018,30.2,67.0,0.0,2.0,C ,41,30,12,128,12
18-12-2018,29.1,73.0,0.0,1.0,C ,51,27,16,160,14
19-12-2018,28.4,78.0,23.4,2.0,C ,62,27,24,195,19
20-12-2018,29.7,69.0,0.0,2.0,C ,55,27,24,97,18
21-12-2018,29.0,66.0,0.0,2.0,NW,41,25,19,64,17
22-12-2018,28.6,77.0,0.0,1.0,C ,58,32,21,66,18
23-12-2018,27.3,78.0,0.0,2.0,W ,48,26,19,44,21
24-12-2018,29.0,70.0,0.0,2.0,W ,34,24,9,45,5
25-12-2018,27.1,81.0,0.0,3.0,SW,29,24,7,70,4
26-12-2018,26.7,82.0,2.7,2.0,W ,31,25,7,69,5
27-12-2018,28.8,71.0,1.0,3.0,W ,29,25,15,55,6
28-12-2018,29.3,67.0,0.0,3.0,W ,33,24,7,63,3
29-12-2018,29.5,72.0,0.0,4.0,W ,30,24,6,50,8
30-12-2018,30.2,69.0,0.0,4.0,SW,48,12,6,53,4
ddd_car: Arah angin terbanyak (°),,,,,,44,18,6,43,4
